Gene	count_concord	unique_hg38	unique_hg19
ADAM7	52	0	0
ADAM8	207	0	0
ADAM9	89	0	0
ADAMDEC1	30	0	0
ADAMTS1	86	0	0
ADAMTS10	138	0	0
ADAMTS12	189	0	0
ADAMTS13	223	0	0
ADAMTS14	202	0	0
ADAMTS15	82	0	1
ADAMTS16	178	0	0
ADAMTS17	230	0	0
ADAMTS18	181	0	0
ADAMTS19	123	0	0
ADAMTS19-AS1	6	0	0
ADAMTS2	218	1	0
ADAMTS20	225	0	0
ADAMTS3	128	0	0
ADAMTS4	72	0	0
ADAMTS5	87	0	0
ADAMTS6	127	0	0
ADAMTS7	321	2	3
ADAMTS8	85	0	0
ADAMTS9	262	0	0
ADAMTS9-AS1	15	0	0
ADAMTS9-AS2	10	0	0
ADAMTSL1	260	0	0
ADAMTSL2	98	99	1
ADAMTSL3	213	0	0
ADAMTSL4	162	0	0
ADAMTSL4-AS1	19	0	0
ADAMTSL5	81	0	0
ADAP1	201	0	0
ADAP2	36	0	0
ADAR	83	0	0
ADARB1	63	0	0
ADARB2	112	0	0
ADARB2-AS1	40	0	0
ADAT1	86	0	0
ADAT2	37	0	0
ADAT3	61	0	0
ADCK1	67	0	0
ADCK2	55	0	0
ADCK5	91	2	0
ADCY1	136	0	0
ADCY10	201	0	0
ADCY2	133	0	0
ADCY3	142	0	0
ADCY4	158	0	0
ADCY5	172	0	0
ADCY6	123	0	0
ADCY7	249	0	1
ADCY8	131	0	0
ADCY9	137	0	0
ADCYAP1	24	0	0
ADCYAP1R1	84	0	1
ADD1	94	0	0
ADD2	97	0	0
ADD3	69	0	0
ADD3-AS1	19	0	0
ADGB	238	0	0
ADGRA1	76	0	0
ADGRA2	152	0	0
ADGRA3	155	0	0
ADGRB1	240	0	0
ADGRB2	166	0	0
ADGRB3	140	0	0
ADGRD1	177	0	0
ADGRD1-AS1	4	0	0
ADGRE1	160	0	0
ADGRE2	178	0	0
ADGRE3	91	0	0
ADGRE5	144	0	0
ADGRF1	126	0	0
ADGRF2	101	0	0
ADGRF3	164	0	1
ADGRF4	107	0	0
ADGRF5	146	0	0
ADGRG1	128	0	0
ADGRG3	103	0	0
ADGRG5	81	0	0
ADGRG6	143	0	0
ADGRG7	86	0	0
ADGRL1	84	0	0
ADGRL2	137	0	0
ADGRL3	120	0	0
ADGRL4	90	0	0
ADGRV1	669	0	0
ADH1A	12	0	0
ADH1B	56	0	0
