Gene	count_concord	unique_hg38	unique_hg19
DM1-AS	32	0	0
DMAP1	64	0	0
DMBT1	411	0	0
DMBX1	41	0	0
DMC1	58	0	0
DMGDH	103	0	0
DMKN	141	0	0
DMP1	44	0	0
DMPK	104	0	0
DMRT1	60	0	0
DMRT2	70	0	0
DMRT3	44	0	0
DMRTA1	43	0	0
DMRTA2	45	0	0
DMRTB1	33	0	0
DMRTC2	34	0	0
DMTF1	81	0	0
DMTN	92	0	0
DMWD	40	0	0
DMXL1	306	0	0
DMXL2	233	0	0
DNA2	138	0	0
DNAAF1	150	0	0
DNAAF2	71	0	0
DNAAF3	79	0	0
DNAAF4	25	0	0
DNAAF4-CCPG1	85	0	0
DNAAF5	153	0	0
DNAH1	502	0	0
DNAH10	571	0	0
DNAH11	756	0	0
DNAH12	362	0	0
DNAH14	535	0	0
DNAH17	910	0	0
DNAH17-AS1	105	1	0
DNAH2	532	0	0
DNAH3	455	0	0
DNAH5	598	0	0
DNAH6	422	0	0
DNAH7	430	0	0
DNAH8	451	0	0
DNAH9	529	0	0
DNAI1	82	0	0
DNAI2	101	0	0
DNAJA1	44	0	0
DNAJA2	38	0	0
DNAJA3	63	0	0
DNAJA4	47	0	0
DNAJB1	53	0	0
DNAJB11	48	0	0
DNAJB12	56	0	0
DNAJB13	55	0	0
DNAJB14	43	0	0
DNAJB2	57	0	0
DNAJB3	31	0	0
DNAJB4	19	0	0
DNAJB5	18	0	0
DNAJB6	63	0	0
DNAJB7	24	0	0
DNAJB8	27	0	0
DNAJB8-AS1	15	0	0
DNAJB9	13	0	0
DNAJC1	37	0	0
DNAJC10	93	0	0
DNAJC11	101	0	0
DNAJC12	24	0	0
DNAJC13	253	0	0
DNAJC14	42	0	0
DNAJC15	31	0	0
DNAJC16	62	0	0
DNAJC17	43	0	0
DNAJC18	39	0	0
DNAJC19	18	0	0
DNAJC2	54	0	0
DNAJC21	77	0	0
DNAJC22	25	0	0
DNAJC24	17	0	0
DNAJC25	23	0	0
DNAJC25-GNG10	21	0	0
DNAJC27	31	0	0
DNAJC28	32	0	0
DNAJC3	56	0	0
DNAJC30	24	0	0
DNAJC4	33	0	0
DNAJC5	39	0	0
DNAJC5B	22	0	0
DNAJC5G	28	0	0
DNAJC6	99	0	0
DNAJC7	61	0	0
DNAJC8	43	0	0
DNAJC9	27	0	0
DNAJC9-AS1	38	0	0
DNAL1	44	0	0
DNAL4	17	0	0
DNALI1	57	0	0
DNASE1	90	0	0
DNASE1L2	41	0	0
DNASE1L3	57	0	0
DNASE2	27	0	0
DNASE2B	46	0	0
DND1	27	0	0
DNER	92	0	0
DNHD1	423	0	0
DNLZ	29	0	0
DNM1	112	0	0
DNM1L	87	0	0
DNM2	138	0	0
DNM3	109	0	0
DNM3OS	5	0	0
DNMBP	141	0	0
DNMBP-AS1	1	0	0
DNMT1	226	0	0
DNMT3A	131	0	0
DNMT3B	140	0	0
DNMT3L	66	0	46
DNPEP	89	0	0
DNPH1	20	0	0
DNTT	73	0	0
DNTTIP1	44	0	0
DNTTIP2	58	0	0
DOC2A	65	0	0
DOC2B	38	0	0
DOC2GP	2	0	0
DOCK1	309	0	0
DOCK10	282	0	0
DOCK2	301	0	0
DOCK3	190	0	0
DOCK4	237	0	0
DOCK4-AS1	7	0	0
DOCK5	299	0	0
DOCK6	306	0	0
DOCK7	235	0	0
DOCK8	451	0	0
DOCK9	313	0	0
DOHH	40	0	0
DOK1	54	0	0
DOK2	68	0	0
DOK3	97	0	0
DOK4	56	1	0
DOK5	48	0	0
DOK6	61	0	0
DOK7	130	6	2
DOLK	32	0	0
DOLPP1	41	0	0
DONSON	46	0	0
DOT1L	263	0	0
DPAGT1	42	0	0
DPCD	33	0	0
DPEP1	74	0	0
DPEP2	56	0	0
DPEP3	58	0	0
DPF1	72	0	0
DPF2	42	0	0
DPF3	51	0	0
DPH1	91	0	0
DPH2	32	0	0
DPH3	13	0	0
DPH3P1	10	0	0
DPH5	32	0	0
DPH6	44	0	0
DPH7	71	0	0
DPM1	35	0	0
DPM2	22	0	0
DPM3	10	0	0
DPP10	151	0	0
DPP3	108	0	0
DPP4	115	0	0
DPP6	221	0	0
DPP7	127	0	0
DPP8	90	0	0
DPP9	126	0	0
DPP9-AS1	17	0	0
DPPA2	48	0	0
DPPA3	24	0	0
DPPA4	51	0	0
DPPA5	13	0	0
DPRX	18	0	0
DPT	33	0	0
DPY19L1	87	0	0
DPY19L1P1	10	0	0
DPY19L2	114	0	0
DPY19L3	95	0	0
DPY19L4	106	0	0
DPY30	12	0	0
DPYD	111	0	0
DPYD-AS1	14	0	0
DPYS	65	0	0
DPYSL2	79	0	0
DPYSL3	85	0	0
DPYSL4	133	0	0
DPYSL5	75	0	0
DQX1	59	0	0
DR1	17	0	0
DRAM1	31	0	0
DRAM2	25	0	0
DRAP1	27	0	0
DRAXIN	48	0	0
DRC1	165	0	0
DRC3	88	0	0
DRC7	121	0	0
DRD1	24	0	0
DRD2	54	0	0
DRD3	34	0	0
DRD4	91	0	0
DRD5	40	0	0
DRG1	44	0	0
DRG2	70	0	0
DRGX	46	0	0
DRICH1	76	0	0
DROSHA	156	0	0
DSC1	52	0	0
DSC2	93	0	1
DSC3	135	0	0
DSCAM	261	0	0
DSCAML1	297	0	0
DSCAS	73	0	0
DSCC1	43	0	0
DSCR4	29	0	0
DSCR8	13	0	0
DSCR9	2	0	0
DSE	60	0	0
DSEL	64	0	0
DSG1	105	0	0
DSG1-AS1	76	0	0
DSG2	102	0	0
DSG2-AS1	4	0	0
DSG3	112	0	0
DSG4	67	0	0
DSN1	30	0	0
DSP	234	0	0
DSPP	184	0	0
DST	666	0	0
DSTN	13	0	0
DSTYK	93	0	0
DTD1	25	0	0
DTD2	14	0	0
DTHD1	59	0	0
DTL	82	0	0
DTNA	107	0	0
DTNB	90	0	0
DTNBP1	74	0	0
DTWD1	24	0	0
DTWD2	55	0	0
DTX1	73	0	0
DTX2	107	0	0
DTX3	29	0	0
DTX3L	48	0	0
DTX4	68	0	0
DTYMK	40	0	0
DUOX1	223	0	0
DUOX2	265	0	0
DUOXA1	47	0	0
DUOXA2	59	0	0
DUPD1	36	0	0
DUS1L	72	0	0
DUS2	82	0	0
DUS3L	121	0	0
DUS4L	30	0	0
DUSP1	32	0	0
DUSP10	30	0	0
DUSP11	35	0	0
DUSP12	42	0	0
DUSP13	72	1	0
DUSP14	32	0	0
DUSP15	49	0	0
DUSP16	61	0	0
DUSP18	12	0	0
DUSP19	15	0	0
DUSP2	19	0	0
DUSP22	80	0	0
DUSP23	22	0	0
DUSP26	35	0	0
DUSP27	120	0	0
DUSP28	11	1	0
DUSP3	20	0	0
DUSP4	44	0	0
DUSP5	34	0	0
DUSP6	31	0	0
DUSP7	23	0	0
DUSP8	51	0	0
DUT	30	0	0
DUXA	50	0	0
DVL1	125	0	0
DVL2	91	0	0
DVL3	56	0	0
DXO	37	0	0
DYDC1	18	0	0
DYDC2	21	0	0
DYM	88	0	0
DYNAP	23	0	0
DYNC1H1	369	0	0
DYNC1I1	59	0	0
DYNC1I2	81	0	0
DYNC1LI1	65	0	0
DYNC1LI2	56	0	0
DYNC2H1	486	0	0
DYNC2LI1	130	0	0
DYNLL1	8	0	0
DYNLL2	10	0	0
DYNLRB1	36	0	0
DYNLRB2	7	0	0
DYNLT1	41	0	0
DYRK1A	72	0	0
DYRK1B	61	0	0
DYRK2	94	0	0
DYRK3	33	0	0
DYRK4	85	0	0
DYSF	417	1	0
DYTN	87	0	0
DZANK1	134	0	0
DZIP1	106	0	0
DZIP1L	112	0	0
DZIP3	166	0	0
E2F1	40	0	0
E2F2	39	0	0
E2F3	39	0	0
E2F4	48	0	0
E2F5	28	0	0
E2F6	55	0	0
E2F7	72	0	0
E2F8	73	0	0
E4F1	111	0	0
EAF1	35	0	0
EAF2	40	0	0
EAPP	38	0	0
EARS2	71	0	0
EBAG9	24	0	0
EBF1	73	0	0
EBF2	82	0	0
EBF3	113	1	0
EBF4	86	0	0
EBI3	55	0	0
EBLN2	36	0	0
EBNA1BP2	49	0	0
EBPL	35	0	0
ECD	68	0	0
ECE1	109	0	0
ECE2	138	0	0
ECEL1	102	0	0
ECH1	57	0	0
ECHDC1	34	0	0
ECHDC2	59	0	0
ECHDC3	51	0	0
ECHS1	73	0	0
ECI1	62	0	0
ECI2	74	0	0
ECM1	52	0	0
ECM2	56	0	0
ECSCR	12	3	0
ECSIT	45	0	0
ECT2	107	0	0
ECT2L	142	0	0
EDAR	94	0	0
EDARADD	33	0	0
EDC3	29	0	0
EDC4	108	0	0
EDDM3A	33	0	0
EDDM3B	29	0	0
EDEM1	82	0	0
EDEM2	55	0	0
EDEM3	106	0	0
EDF1	47	0	0
EDIL3	59	0	0
EDN1	39	0	0
EDN2	38	0	0
EDN3	37	0	0
EDNRA	45	0	0
EDNRB	28	0	0
EDNRB-AS1	24	0	0
EDRF1	98	0	0
EDRF1-AS1	13	0	0
EEA1	142	0	0
EED	53	0	0
EEF1A1	42	0	0
EEF1A2	65	0	0
EEF1AKMT1	31	0	0
EEF1AKMT2	37	0	0
EEF1AKMT3	21	0	0
EEF1B2	24	0	0
EEF1D	103	0	0
EEF1E1	8	0	0
EEF1E1-BLOC1S5	40	0	0
EEF1G	44	0	0
EEF2	56	0	0
EEF2K	131	0	0
EEF2KMT	74	0	0
EEFSEC	69	0	0
EEPD1	61	0	0
EFCAB1	30	0	0
EFCAB10	12	0	0
EFCAB11	37	0	0
EFCAB12	82	0	0
EFCAB13	123	0	0
EFCAB14	34	0	0
EFCAB14-AS1	18	0	0
EFCAB2	39	0	0
EFCAB3	61	0	0
EFCAB5	156	0	0
EFCAB6	227	0	0
EFCAB6-AS1	17	0	0
EFCAB7	66	0	0
EFCAB8	200	0	0
EFCC1	58	0	0
EFEMP1	65	0	0
EFEMP2	62	0	0
EFHB	100	0	0
EFHC1	88	0	0
EFHD1	33	0	0
EFHD2	40	0	0
EFL1	116	0	0
EFNA1	26	0	0
EFNA2	24	0	0
EFNA3	35	0	0
EFNA4	29	0	0
EFNA5	25	0	0
EFNB2	32	0	0
EFNB3	29	0	0
EFR3A	125	0	0
EFR3B	100	0	0
EFS	74	0	0
EFTUD2	117	0	0
EGF	179	0	0
EGFEM1P	3	0	0
EGFL7	95	0	0
EGFL8	18	0	0
EGFLAM	145	0	0
EGFR	201	0	0
EGFR-AS1	8	0	0
EGLN1	32	0	0
EGLN2	19	0	0
EGLN3	21	0	0
EGR1	19	0	0
EGR2	22	0	0
EGR3	17	0	0
EGR4	47	1	0
EHBP1	107	0	0
EHBP1L1	131	0	0
EHD1	47	0	0
EHD2	68	0	0
EHD3	55	0	0
EHD4	49	0	0
EHF	43	0	0
EHHADH	78	0	0
EHMT1	222	0	0
EHMT2	136	0	0
EI24	6	0	1
EID1	27	0	0
EID2	23	0	0
EID2B	13	0	0
EID3	26	0	0
EIF1	20	0	0
EIF1AD	25	0	0
EIF1B	20	0	0
EIF1B-AS1	35	0	0
EIF2A	60	0	0
EIF2AK1	104	0	0
EIF2AK2	60	0	0
EIF2AK3	51	0	0
EIF2AK4	205	0	0
EIF2B1	43	0	0
EIF2B2	44	0	0
EIF2B3	50	0	0
EIF2B4	76	0	0
EIF2B5	62	0	0
EIF2D	57	1	0
EIF2S1	29	0	0
EIF2S2	39	0	0
EIF3A	153	0	0
EIF3B	129	0	0
EIF3C	10	0	0
EIF3CL	10	0	0
EIF3D	80	0	0
EIF3E	62	0	0
EIF3F	54	0	0
EIF3G	69	0	0
EIF3H	31	0	0
EIF3I	44	0	0
EIF3J	32	0	0
EIF3K	45	0	0
EIF3L	65	0	0
EIF3M	56	0	0
EIF4A1	10	0	0
EIF4A2	55	0	0
EIF4A3	69	0	0
EIF4B	75	0	0
EIF4E	31	0	0
EIF4E1B	65	0	0
EIF4E2	32	0	0
EIF4E3	27	0	0
EIF4EBP1	13	0	0
EIF4EBP2	20	0	0
EIF4EBP3	9	0	0
EIF4ENIF1	113	0	0
EIF4G1	183	0	0
EIF4G2	98	0	0
EIF4G3	182	0	0
EIF4H	40	0	0
EIF5	73	0	0
EIF5A	23	0	0
EIF5A2	10	0	0
EIF5AL1	106	0	0
EIF5B	106	0	0
EIF6	39	0	0
EIPR1	107	0	0
ELAC1	20	0	0
ELAC2	143	0	0
ELANE	48	0	0
ELAVL1	34	0	0
ELAVL2	31	0	0
ELAVL3	52	0	0
ELAVL4	39	0	0
ELF1	47	0	0
ELF2	37	0	0
ELF3	52	0	0
ELF3-AS1	17	0	0
ELF5	37	0	0
ELFN1	117	0	0
ELFN2	73	0	0
ELK2AP	577	4	4
ELK3	51	0	0
ELK4	34	0	0
ELL	105	0	0
ELL2	62	0	0
ELL3	50	0	0
ELMO1	119	0	0
ELMO1-AS1	7	0	0
ELMO2	80	0	0
ELMO3	109	0	0
ELMOD1	71	0	0
ELMOD2	30	0	0
ELMOD3	80	0	0
ELN	179	0	0
ELOA	75	0	0
ELOA2	93	0	0
ELOB	41	0	0
ELOC	15	0	0
ELOF1	16	0	0
ELOVL1	31	0	0
ELOVL2	37	0	0
ELOVL2-AS1	5	0	0
ELOVL3	15	0	0
ELOVL4	40	0	0
ELOVL5	59	0	0
ELOVL6	12	0	0
ELOVL7	34	0	0
ELP1	205	0	0
ELP2	114	0	0
ELP3	71	0	0
ELP4	62	0	0
ELP5	53	0	0
ELP6	35	0	0
EMB	63	0	0
EMC1	74	0	0
EMC10	75	0	0
EMC2	46	0	0
EMC3	32	0	0
EMC4	37	0	0
EMC6	1	0	0
EMC7	27	0	0
EMC8	32	0	0
EMC9	24	0	0
EMCN	38	0	0
EME1	59	0	0
EME2	84	0	0
EMG1	24	0	3
EMID1	71	1	0
EMILIN1	81	0	0
EMILIN2	83	0	0
EMILIN3	65	0	1
EML1	124	0	0
EML2	118	0	0
EML3	80	0	0
EML4	160	0	0
EML6	324	0	0
EMP1	25	0	0
EMP2	38	0	0
EMP3	31	0	0
EMSY	92	0	0
EMX1	22	0	0
EMX2	20	0	0
EMX2OS	2	0	0
EN1	20	0	0
EN2	20	0	0
ENAH	64	0	0
ENAM	73	0	0
ENC1	22	0	0
ENDOD1	32	0	0
ENDOG	19	0	0
ENDOU	72	0	0
ENDOV	69	0	0
ENG	86	0	0
ENGASE	129	0	0
ENHO	7	0	0
ENKD1	36	0	0
ENKUR	47	0	0
ENO1	74	0	0
ENO2	56	0	0
ENO3	83	0	0
ENO4	65	0	0
ENOPH1	22	0	0
ENOSF1	130	0	0
ENOX1	77	0	0
ENPEP	121	0	0
ENPP1	126	0	0
ENPP2	153	0	0
ENPP3	131	0	0
ENPP4	22	0	0
ENPP5	32	0	0
ENPP6	64	0	0
ENPP7	75	0	0
ENPP7P13	13	0	0
ENSA	29	0	0
ENTHD1	41	0	0
ENTPD1	12	0	0
ENTPD1-AS1	99	0	0
ENTPD2	83	0	0
ENTPD3	38	0	0
ENTPD3-AS1	24	0	0
ENTPD4	94	0	0
ENTPD5	84	0	0
ENTPD6	102	0	0
ENTPD7	60	0	0
ENTPD8	93	0	0
ENY2	11	0	0
EOGT	93	0	0
EOMES	39	0	0
EP300	246	0	0
EP400	379	0	0
EPAS1	137	0	0
EPB41	80	0	0
EPB41L1	122	0	0
EPB41L2	123	0	0
EPB41L3	116	0	0
EPB41L4A	133	0	0
EPB41L4B	138	0	0
EPB41L5	114	0	0
EPB42	94	0	0
EPC1	74	0	0
EPC2	77	0	0
EPCAM	88	0	0
EPDR1	32	0	0
EPG5	265	0	0
EPGN	16	0	0
EPHA1	148	0	0
EPHA1-AS1	3	0	0
EPHA10	162	0	0
EPHA2	143	1	0
EPHA3	112	0	0
EPHA4	93	0	0
EPHA5	112	0	0
EPHA6	118	0	0
EPHA7	73	0	0
EPHA8	193	0	0
EPHB1	90	0	0
EPHB2	132	0	0
EPHB3	83	0	0
EPHB4	136	0	0
EPHB6	110	3	2
EPHX1	95	0	0
EPHX2	168	0	0
EPHX3	34	0	0
EPHX4	15	0	0
EPM2A	41	0	0
EPM2AIP1	21	0	0
EPN1	118	0	0
EPN2	44	0	0
EPN3	84	0	0
EPO	27	0	0
EPOP	27	0	0
EPOR	48	0	0
EPPIN	21	0	0
EPPIN-WFDC6	35	0	0
EPPK1	262	2	11
EPS15	119	0	0
EPS15L1	126	0	0
EPS8	98	0	0
EPS8L1	132	0	0
EPS8L2	147	0	0
EPS8L3	105	0	0
EPSTI1	76	0	0
EPX	103	0	0
EPYC	37	0	0
EQTN	45	0	0
ERAL1	34	0	0
ERAP1	173	0	0
ERAP2	127	0	0
ERBB2	146	0	0
ERBB3	120	0	0
ERBB4	158	0	0
ERBIN	152	0	0
ERC1	104	0	0
ERC2	98	0	0
ERCC1	69	0	0
ERCC2	182	0	0
ERCC3	97	0	0
ERCC4	103	0	0
ERCC5	129	0	0
ERCC6	189	0	0
ERCC6L2	119	0	0
ERCC8	55	0	0
EREG	26	0	0
ERF	41	0	0
ERFE	41	0	0
ERG	65	1	0
ERGIC1	87	0	0
ERGIC2	44	0	0
ERGIC3	68	3	3
ERH	18	0	0
ERI1	60	0	0
ERI2	68	0	0
ERI3	48	0	0
ERICH1	78	0	0
ERICH2	32	0	0
ERICH3	132	0	0
ERICH3-AS1	18	0	0
ERICH4	12	0	0
ERICH5	24	0	0
ERICH6	99	0	0
ERICH6-AS1	5	0	0
ERICH6B	111	0	0
ERLEC1	65	0	0
ERLIN1	27	0	0
ERLIN2	51	0	0
ERMAP	73	0	0
ERMARD	132	0	0
ERMN	29	0	0
ERMP1	79	0	0
ERN1	134	0	0
ERN2	122	0	0
ERO1A	55	0	0
ERO1B	90	0	0
ERP27	63	0	0
ERP29	29	0	0
ERP44	41	0	0
ERRFI1	36	0	0
ERVFRD-1	33	0	0
ESAM	62	0	0
ESCO1	58	0	0
ESCO2	72	0	0
ESD	39	0	0
ESF1	70	0	0
ESM1	19	0	0
ESPL1	175	0	0
ESPN	113	0	0
ESPNL	154	0	0
ESR1	94	0	0
ESR2	75	0	0
ESRP1	70	0	0
ESRP2	69	0	0
ESRRA	44	0	0
ESRRB	73	0	0
ESRRG	42	1	0
ESYT1	118	0	0
ESYT2	127	0	0
ESYT3	150	0	0
ETAA1	74	0	0
ETF1	44	0	0
ETFA	59	0	0
ETFB	69	0	0
ETFBKMT	27	0	0
ETFDH	59	0	0
ETFRF1	12	0	0
ETHE1	37	0	0
ETNK1	49	0	0
ETNK2	62	0	0
ETNPPL	68	0	0
ETS1	49	0	0
ETS2	53	0	0
ETV1	94	0	0
ETV2	40	0	0
ETV3	21	0	0
ETV3L	54	0	0
ETV4	59	0	0
ETV5	48	0	0
ETV6	56	0	0
ETV7	66	0	0
EVA1A	18	0	0
EVA1B	17	0	0
EVA1C	58	0	0
EVC	219	0	0
EVC2	235	0	0
EVI2A	18	0	0
EVI2B	23	0	0
EVI5	76	0	0
EVI5L	122	0	0
EVL	83	0	0
EVPL	235	0	0
EVPLL	42	0	0
EVX1	19	0	0
EVX1-AS	13	0	0
EVX2	40	0	0
EWSR1	114	0	0
EXD1	44	0	0
EXD2	48	0	0
EXD3	226	0	0
EXO1	108	0	0
EXO5	31	0	0
EXOC1	83	0	0
EXOC2	170	0	0
EXOC3	93	0	0
EXOC3-AS1	24	0	0
EXOC3L1	91	0	0
EXOC3L2	70	0	0
EXOC3L4	115	0	0
EXOC4	97	0	0
EXOC5	80	0	0
EXOC6	93	0	0
EXOC6B	97	0	0
EXOC7	151	0	0
EXOC8	33	0	0
EXOG	46	0	0
EXOSC1	46	0	0
EXOSC10	152	0	0
EXOSC2	41	0	0
EXOSC3	35	0	0
EXOSC4	22	0	0
EXOSC5	51	0	0
EXOSC6	8	0	0
EXOSC7	48	0	0
EXOSC8	47	0	0
EXOSC9	68	0	0
EXPH5	135	0	0
EXT1	67	0	0
EXT2	92	0	0
EXTL1	87	0	0
EXTL2	25	0	0
EXTL3	55	0	0
EYA1	91	0	0
EYA2	112	0	0
EYA3	55	0	0
EYA4	71	0	0
EYS	351	0	0
EZH1	63	0	0
EZH2	115	0	0
EZR	123	0	0
EZR-AS1	4	0	0
F10	71	0	0
F10-AS1	7	0	0
F11	71	0	0
F11-AS1	19	0	0
F11R	54	0	0
F12	81	0	0
F13A1	133	0	0
F13B	66	0	0
F2	86	0	0
F2R	29	0	0
F2RL1	29	0	0
F2RL2	31	0	0
F2RL3	36	0	0
F3	46	0	0
F5	216	0	0
F7	70	0	0
FA2H	66	0	0
FAAH	80	0	0
FAAP100	128	0	0
FAAP20	51	0	0
FAAP24	32	0	0
FABP1	28	0	0
FABP12	21	0	0
FABP2	22	0	0
FABP3	19	0	0
FABP4	19	0	0
FABP5	15	0	0
FABP5P3	44	0	0
FABP6	45	0	0
FABP7	22	0	0
FABP9	36	0	0
FADD	10	0	0
FADS1	46	0	0
FADS2	68	0	0
FADS3	65	0	0
FAF1	76	0	0
FAF2	57	0	0
FAH	117	0	0
FAHD1	69	0	0
FAHD2A	58	0	0
FAHD2B	55	0	0
FAHD2CP	8	0	0
FAIM	28	0	0
FAIM2	72	0	0
FAM102A	69	0	0
FAM102B	44	0	0
FAM104A	38	0	0
FAM107A	18	0	0
FAM107B	40	0	0
FAM110A	46	0	0
FAM110B	69	0	0
FAM110C	20	0	0
FAM110D	29	0	0
FAM111A	42	0	0
FAM111B	52	0	0
FAM114A1	96	0	0
FAM114A2	72	0	0
FAM117A	33	0	0
FAM117B	56	0	0
FAM118A	78	0	0
FAM118B	42	0	0
FAM120A	94	0	0
FAM120AOS	50	0	0
FAM120B	71	0	0
FAM122A	55	0	0
FAM124A	45	0	0
FAM124B	27	0	0
FAM126A	65	0	0
FAM126B	47	0	0
FAM131A	24	0	0
FAM131B	34	0	0
FAM131C	92	0	0
FAM133B	6	0	0
FAM133DP	26	0	0
FAM135A	104	0	0
FAM135B	149	0	0
FAM136A	23	0	0
FAM13A	125	0	0
FAM13A-AS1	6	0	0
FAM13B	91	0	0
FAM13C	70	1	1
FAM149A	80	0	0
FAM149B1	75	0	0
FAM151A	99	0	0
FAM151B	37	0	0
FAM153A	79	0	0
FAM153B	119	0	0
FAM155A	32	0	0
FAM157A	43	4	4
FAM157B	38	1	4
FAM160A1	107	0	0
FAM160A2	90	0	0
FAM160B1	90	0	0
FAM160B2	132	0	0
FAM161A	77	0	0
FAM161B	78	0	0
FAM162A	28	0	0
FAM162B	35	0	0
FAM163A	12	0	0
FAM163B	15	11	0
FAM166A	77	0	0
FAM166B	39	0	0
FAM167A	30	0	0
FAM167A-AS1	7	0	0
FAM167B	16	0	0
FAM168A	32	0	0
FAM168B	32	0	0
FAM169A	57	0	0
FAM169B	44	0	0
FAM170A	40	0	0
FAM170B	29	0	0
FAM170B-AS1	9	0	0
FAM171A1	77	0	0
FAM171A2	31	0	0
FAM171B	52	0	0
FAM172A	35	0	0
FAM174A	21	0	0
FAM174B	25	0	0
FAM177A1	33	0	0
FAM177B	28	0	0
FAM178B	89	0	0
FAM180A	21	0	0
FAM181A	24	0	0
FAM181B	26	0	0
FAM182A	3	12	1
FAM182B	17	15	0
FAM183A	39	0	0
FAM183BP	21	0	0
FAM184A	93	0	0
FAM184B	149	0	0
FAM185A	46	0	0
FAM186A	141	0	0
FAM186B	77	0	0
FAM187A	27	0	0
FAM187B	42	0	0
FAM189A1	104	0	0
FAM189A2	78	0	0
FAM189B	63	0	0
FAM193A	109	0	0
FAM193B	59	0	0
FAM200A	29	0	0
FAM200B	69	0	0
FAM201A	15	0	0
FAM204A	23	0	0
FAM205A	110	0	0
FAM205BP	14	0	0
FAM207A	67	0	0
FAM209A	22	0	0
FAM209B	30	0	0
FAM20A	80	0	0
FAM20B	38	0	0
FAM20C	171	0	0
FAM210A	14	0	0
FAM210B	26	0	0
FAM214A	99	0	0
FAM214B	58	0	0
FAM216A	35	0	0
FAM216B	20	0	0
FAM217A	60	0	0
FAM217B	97	0	0
FAM218A	37	0	0
FAM219A	32	0	0
FAM219B	25	0	0
FAM220A	27	0	0
FAM221A	46	0	0
FAM221B	63	0	0
FAM222A	32	0	0
FAM222A-AS1	11	0	0
FAM222B	25	0	0
FAM227A	89	0	0
FAM227B	76	0	0
FAM228A	52	0	0
FAM228B	81	1	1
FAM229B	18	0	0
FAM234A	140	0	0
FAM234B	74	0	0
FAM237A	17	0	0
FAM238C	2	0	0
FAM24A	9	0	0
FAM24B	3	0	0
FAM25A	14	0	0
FAM25BP	0	42	0
FAM25C	8	26	3
FAM25G	8	17	3
FAM27C	0	0	26
FAM27E3	0	14	0
FAM27E5	17	0	0
FAM30A	379	10	13
FAM32A	26	0	0
FAM3B	58	0	0
FAM3C	33	0	0
FAM3D	43	0	0
FAM3D-AS1	3	0	0
FAM43A	39	0	0
FAM43B	27	0	0
FAM47E	52	0	0
FAM47E-STBD1	47	0	0
FAM50B	55	0	0
FAM53A	72	0	0
FAM53B	35	0	0
FAM53B-AS1	8	0	0
FAM53C	19	0	0
FAM66B	14	0	0
FAM66D	11	0	0
FAM71A	51	0	0
FAM71B	55	0	0
FAM71C	29	0	0
FAM71D	49	0	0
FAM71E1	48	0	0
FAM71E2	123	0	0
FAM71F1	47	0	0
FAM71F2	49	0	0
FAM72A	23	3	1
FAM72B	0	4	33
FAM72C	25	16	34
FAM72D	1	0	24
FAM74A3	37	2	0
FAM76A	27	0	0
FAM76B	57	0	0
FAM78A	40	0	0
FAM78B	27	0	0
FAM81A	41	0	0
FAM81B	59	0	0
FAM83A	57	0	0
FAM83B	76	0	0
FAM83C	71	0	0
FAM83D	48	0	0
FAM83E	58	0	0
FAM83F	56	0	0
FAM83G	78	0	0
FAM83H	112	0	0
FAM86B1	37	14	5
FAM86B2	55	0	0
FAM86C1	102	0	0
FAM89A	14	0	0
FAM89B	5	0	0
FAM8A1	26	1	0
FAM90A1	60	0	0
FAM90A10P	1	0	0
FAM91A1	86	0	0
FAM92A	46	0	0
FAM92B	71	0	0
FAM95C	44	0	0
FAM98A	50	0	0
FAM98B	46	0	0
FAM98C	57	0	0
FAN1	117	0	0
FANCA	385	0	0
FANCC	76	0	0
FANCD2	212	1	1
FANCD2OS	51	0	0
FANCE	71	0	0
FANCF	26	0	0
FANCG	66	0	0
FANCI	217	0	0
FANCL	78	0	0
FANCM	164	0	0
FANK1	81	0	1
FAP	112	0	0
FAR1	44	0	0
FAR2	30	0	0
FARP1	201	0	0
FARP2	189	0	0
FARS2	93	0	0
FARSA	70	0	0
FARSB	83	0	0
FAS	49	0	0
FASLG	23	0	0
FASN	381	1	1
FASTK	57	0	0
FASTKD1	88	0	0
FASTKD2	68	0	0
FASTKD3	58	0	0
FASTKD5	34	0	0
FAT1	410	0	0
FAT2	356	0	0
FAT3	313	0	0
FAT4	275	0	0
FAU	20	0	0
FAXC	31	0	0
FAXDC2	60	0	0
FBF1	170	0	0
FBL	39	0	0
FBLIM1	60	0	0
FBLN1	210	0	0
FBLN2	166	0	0
FBLN5	61	0	0
FBLN7	65	0	0
FBN1	320	0	0
FBN2	387	0	0
FBN3	594	0	0
FBP1	71	0	0
FBP2	47	0	0
FBRS	118	0	0
FBRSL1	159	1	0
FBXL12	21	0	0
FBXL13	95	0	0
FBXL14	33	0	0
FBXL15	32	0	0
FBXL16	36	0	0
FBXL17	61	0	0
FBXL18	106	0	0
FBXL19	55	0	0
FBXL2	61	0	0
FBXL20	58	0	0
FBXL22	26	0	0
FBXL3	28	0	0
FBXL4	50	0	0
FBXL5	65	0	0
FBXL6	62	0	0
FBXL7	51	0	0
FBXL8	22	0	0
FBXO10	76	0	0
FBXO11	115	0	0
FBXO15	62	0	0
FBXO16	51	0	0
FBXO17	46	0	0
FBXO2	47	0	0
FBXO21	71	0	0
FBXO22	38	0	0
FBXO24	35	0	0
FBXO25	84	0	0
FBXO27	37	0	0
